threshold,accuracy,precision_eject,recall_eject,f1_eject,specificity_stable,tn,fp,fn,tp
7.2250000000000005,0.32433243324332434,0.27512142471667567,0.9845500193124759,0.430065800573646,0.09365721997300945,694,6716,40,2549
7.25,0.32323232323232326,0.27479517033203965,0.9845500193124759,0.4296670880741677,0.09217273954116059,683,6727,40,2549
7.275,0.32203220322032206,0.2745372363323289,0.985322518346852,0.42942513256459897,0.0902834008097166,669,6741,38,2551
7.300000000000001,0.3209320932093209,0.2742126195850801,0.985322518346852,0.4290279179280188,0.08879892037786774,658,6752,38,2551
7.325,0.31963196319631965,0.2738299699441821,0.985322518346852,0.4285594288114238,0.08704453441295547,645,6765,38,2551
7.3500000000000005,0.3179317931793179,0.27333119039965714,0.985322518346852,0.42794833081697703,0.08475033738191633,628,6782,38,2551
7.375,0.31703170317031704,0.27306786555341467,0.985322518346852,0.42762551336853577,0.08353576248313091,619,6791,38,2551
7.4,0.31663166316631663,0.27295099507810827,0.985322518346852,0.4274821952241307,0.08299595141700405,615,6795,38,2551
7.425000000000001,0.31533153315331536,0.2725718559675179,0.985322518346852,0.42701707398727823,0.08124156545209177,602,6808,38,2551
7.45,0.31453145314531455,0.27243623946217055,0.9860950173812283,0.4269230769230769,0.07989203778677463,592,6818,36,2553
7.4750000000000005,0.3138313831383138,0.2722328854766475,0.9860950173812283,0.42667335171722237,0.07894736842105263,585,6825,36,2553
7.5,0.31293129312931295,0.27197187599872163,0.9860950173812283,0.42635270541082165,0.07773279352226721,576,6834,36,2553
7.525,0.3114311431143114,0.27158655891110167,0.9864812668984164,0.4259151171516718,0.07557354925775979,560,6850,35,2554
7.550000000000001,0.31093109310931094,0.2715393604589398,0.9872537659327926,0.42592901183136145,0.07462887989203779,553,6857,33,2556
7.575,0.30933093309330933,0.27107858733693924,0.9872537659327926,0.4253619570644034,0.07246963562753037,537,6873,33,2556
7.6000000000000005,0.3092309230923092,0.27124390760754397,0.988798764001545,0.42570882181757713,0.07179487179487179,532,6878,29,2560
7.625,0.3084308430843084,0.2710141858987931,0.988798764001545,0.42542584129621935,0.07071524966261808,524,6886,29,2560
7.65,0.30743074307430746,0.2707760625925143,0.9891850135187331,0.42516809164107244,0.06923076923076923,513,6897,28,2561
7.675000000000001,0.30703070307030705,0.27071005917159763,0.9895712630359212,0.4251223761719074,0.06855600539811066,508,6902,27,2562
7.7,0.30643064306430645,0.2705385427666315,0.9895712630359212,0.4249108549630981,0.06774628879892038,502,6908,27,2562
7.7250000000000005,0.30563056305630565,0.27031019202363366,0.9895712630359212,0.4246291538907765,0.06666666666666667,494,6916,27,2562
7.75,0.3049304930493049,0.2701107011070111,0.9895712630359212,0.42438297167467287,0.06572199730094468,487,6923,27,2562
7.775,0.30403040304030404,0.269854645038972,0.9895712630359212,0.42406687081022926,0.06450742240215925,478,6932,27,2562
7.800000000000001,0.30303030303030304,0.26957070707070707,0.9895712630359212,0.4237161994542297,0.06315789473684211,468,6942,27,2562
7.825,0.3019301930193019,0.26925906463478716,0.9895712630359212,0.42333113020489094,0.061673414304993256,457,6953,27,2562
7.8500000000000005,0.30143014301430143,0.2691661415668977,0.9899575125531093,0.4232515894641235,0.060863697705802966,451,6959,26,2563
7.875,0.30083008300830083,0.26899664147774976,0.9899575125531093,0.42304200709746637,0.06005398110661268,445,6965,26,2563
7.9,0.2998299829982998,0.26871461522331724,0.9899575125531093,0.4226931640141832,0.058704453441295545,435,6975,26,2563
7.925000000000001,0.2988298829882988,0.2684331797235023,0.9899575125531093,0.42234489577325535,0.05735492577597841,425,6985,26,2563
7.95,0.2984298429842984,0.26851464435146444,0.9915025106218617,0.4225862210881554,0.0562753036437247,417,6993,22,2567
7.9750000000000005,0.2978297829782978,0.2683462262178549,0.9915025106218617,0.4223776223776224,0.055465587044534415,411,6999,22,2567
8.0,0.29732973297329734,0.2682060390763766,0.9915025106218617,0.42220394736842104,0.054790823211875846,406,7004,22,2567
